pair_key,mono_config_id,edof_config_id,base_id,cornea_id,platform_id,platform_label,pupil_mm,pupil_label,delta_dof50_width_d,delta_distance_peak_mtfa,delta_mtfa_at_zero_d,delta_tf_mtfa_mean,delta_c40_um,delta_c60_um,delta_hoa_rms_um,delta_f_residual_d,dof50_effect_status,pair_dof50_censored,mono_dof50_censored,edof_dof50_censored,pair_peak_censored,mono_peak_censored,edof_peak_censored
CAR_LB_AL2395_B0V12_RAD_EPD5,CFG_LB_AL2395_B0V12_RAD_MONO_EPD5,CFG_LB_AL2395_B0V12_RAD_EDOF_EPD5,LB_AL2395,B0V12,RAD,RAD-like,5.0,EPD5,0.19842133720685795,-0.04464522642525878,-0.07019181106412048,-0.011997908217947093,-0.1289336919250601,0.06342388864131379,-0.10045237241551082,-0.25,exact,False,False,False,True,False,True
CAR_LB_AL2395_B0V12_WFS_EPD3,CFG_LB_AL2395_B0V12_WFS_MONO_EPD3,CFG_LB_AL2395_B0V12_WFS_EDOF_EPD3,LB_AL2395,B0V12,WFS,WFS-like,3.0,EPD3,0.4597038588324205,-0.20441490933567424,-0.20441490933567424,-0.016955155218166096,0.032195325337943434,-0.017358033929437452,0.0346015845266054,0.0,lower_bound,True,False,True,False,False,False
CAR_LB_AL2395_B0V12_WFS_EPD5,CFG_LB_AL2395_B0V12_WFS_MONO_EPD5,CFG_LB_AL2395_B0V12_WFS_EDOF_EPD5,LB_AL2395,B0V12,WFS,WFS-like,5.0,EPD5,0.03986150601860716,-0.014780660373314658,-0.07553032103276525,-0.005584221749098922,0.00207325263322794,-0.009503643978649846,0.002132495556087105,-0.5,exact,False,False,False,True,False,True
CAR_LB_AL2395_C0V12_HOA_EPD3,CFG_LB_AL2395_C0V12_HOA_MONO_EPD3,CFG_LB_AL2395_C0V12_HOA_EDOF_EPD3,LB_AL2395,C0V12,HOA,HOA-like,3.0,EPD3,0.6921668958311665,-0.4247132929270181,-0.4803412962759928,-0.0812142356742838,-0.06978107255451341,0.17573075591230747,0.1584343178994884,-0.25,exact,False,False,False,False,False,False
CAR_LB_AL2395_C0V12_HOA_EPD5,CFG_LB_AL2395_C0V12_HOA_MONO_EPD5,CFG_LB_AL2395_C0V12_HOA_EDOF_EPD5,LB_AL2395,C0V12,HOA,HOA-like,5.0,EPD5,-0.04214586679112198,-0.13441093368364196,-0.20461679478754688,-0.02977139083134428,-0.0025516825431965984,0.016081964700345237,-0.0010164269303682694,-0.25,exact,False,False,False,False,False,False
CAR_LB_AL2395_C0V12_RAD_EPD3,CFG_LB_AL2395_C0V12_RAD_MONO_EPD3,CFG_LB_AL2395_C0V12_RAD_EDOF_EPD3,LB_AL2395,C0V12,RAD,RAD-like,3.0,EPD3,0.19597235794474366,-0.28664361829955537,-0.28664361829955537,-0.015054364720577834,0.010991824761287374,-0.08998127036433275,0.08578504082602861,0.0,exact,False,False,False,False,False,False
CAR_LB_AL2395_C0V12_RAD_EPD5,CFG_LB_AL2395_C0V12_RAD_MONO_EPD5,CFG_LB_AL2395_C0V12_RAD_EDOF_EPD5,LB_AL2395,C0V12,RAD,RAD-like,5.0,EPD5,0.302869338290417,-0.14747505530725896,-0.14747505530725896,-0.0038901164263761556,-0.12964724435622899,0.06227076710366755,0.12696146134012182,0.0,lower_bound,True,False,True,False,False,False
CAR_LB_AL2395_C0V12_WFS_EPD3,CFG_LB_AL2395_C0V12_WFS_MONO_EPD3,CFG_LB_AL2395_C0V12_WFS_EDOF_EPD3,LB_AL2395,C0V12,WFS,WFS-like,3.0,EPD3,0.18667668973713647,-0.16432744415828976,-0.16432744415828976,-0.013616436806303645,0.032683364516432105,-0.016675145941254348,0.03566861010967695,0.0,exact,False,False,False,False,False,False
CAR_LB_AL2395_C0V12_WFS_EPD5,CFG_LB_AL2395_C0V12_WFS_MONO_EPD5,CFG_LB_AL2395_C0V12_WFS_EDOF_EPD5,LB_AL2395,C0V12,WFS,WFS-like,5.0,EPD5,0.08481423922868103,-0.07712468236143594,-0.07712468236143594,-0.003168846645651688,0.0022865260613478267,-0.009801984003854014,-0.0004237179513411071,0.0,exact,False,False,False,False,False,False
CAR_LB_AL2395_N0_HOA_EPD3,CFG_LB_AL2395_N0_HOA_MONO_EPD3,CFG_LB_AL2395_N0_HOA_EDOF_EPD3,LB_AL2395,N0,HOA,HOA-like,3.0,EPD3,0.7356147902542374,-0.429841151778812,-0.48487222324626833,-0.08193134504670845,-0.07188865075123865,0.17881262460724645,0.16249148237811736,-0.25,exact,False,False,False,False,False,False
CAR_LB_AL2395_N0_HOA_EPD5,CFG_LB_AL2395_N0_HOA_MONO_EPD5,CFG_LB_AL2395_N0_HOA_EDOF_EPD5,LB_AL2395,N0,HOA,HOA-like,5.0,EPD5,-0.2879983155363839,-0.03329709284711227,-0.17002448069015902,-0.025309625003694464,-0.0026188985123130615,0.01659562971644411,-0.0016537375251478026,-0.5,exact,False,False,False,True,False,True
CAR_LB_AL2395_N0_RAD_EPD3,CFG_LB_AL2395_N0_RAD_MONO_EPD3,CFG_LB_AL2395_N0_RAD_EDOF_EPD3,LB_AL2395,N0,RAD,RAD-like,3.0,EPD3,0.1891297411549353,-0.2878302926742729,-0.2878302926742729,-0.014734322369177683,0.015095232352492372,-0.08889779240050354,0.08591204674585487,0.0,exact,False,False,False,False,False,False
CAR_LB_AL2395_N0_RAD_EPD5,CFG_LB_AL2395_N0_RAD_MONO_EPD5,CFG_LB_AL2395_N0_RAD_EDOF_EPD5,LB_AL2395,N0,RAD,RAD-like,5.0,EPD5,-0.07637130842129014,-0.0309446328885134,-0.0309446328885134,-0.010932003040895685,-0.12967700230254092,0.06113338102091696,0.030303228100434496,0.0,exact,False,False,False,False,False,False
CAR_LB_AL2395_N0_WFS_EPD3,CFG_LB_AL2395_N0_WFS_MONO_EPD3,CFG_LB_AL2395_N0_WFS_EDOF_EPD3,LB_AL2395,N0,WFS,WFS-like,3.0,EPD3,0.19412335611887455,-0.1663794428288085,-0.1663794428288085,-0.013183941158771417,0.03303718729159311,-0.016161162914509027,0.03585531803245504,0.0,exact,False,False,False,False,False,False
CAR_LB_AL2395_N0_WFS_EPD5,CFG_LB_AL2395_N0_WFS_MONO_EPD5,CFG_LB_AL2395_N0_WFS_EDOF_EPD5,LB_AL2395,N0,WFS,WFS-like,5.0,EPD5,-0.03296587825022046,-0.0018459867501365301,-0.0737358292601937,-0.006677307026112536,0.0024544478491774907,-0.010031327994140044,0.0025155329225076545,0.0,exact,False,False,False,False,False,False
