model_role,run_id,config_id,pair_key,carrier_id,base_id,cornea_id,platform_id,optic_state,pupil_mm,relative_path,sha256
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_LB_AL2395_B0V12_HOA_MONO_EPD5,CAR_LB_AL2395_B0V12_HOA_EPD5,CAR_LB_AL2395_B0V12_HOA,LB_AL2395,B0V12,HOA,MONO,5.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_LB_AL2395_B0V12_HOA_EPD5.zmx,9dd5bbe2e833132fddc077acbb8ed8939c2a91a8fccb02389d3f1791982d62db
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_LB_AL2395_B0V12_RAD_MONO_EPD3,CAR_LB_AL2395_B0V12_RAD_EPD3,CAR_LB_AL2395_B0V12_RAD,LB_AL2395,B0V12,RAD,MONO,3.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_LB_AL2395_B0V12_RAD_EPD3.zmx,7b60ca714c668eb2a531478915df9682d5b51b6a0aebe943b298f64359e91af0
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_LB_AL2395_B0V12_RAD_MONO_EPD5,CAR_LB_AL2395_B0V12_RAD_EPD5,CAR_LB_AL2395_B0V12_RAD,LB_AL2395,B0V12,RAD,MONO,5.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_LB_AL2395_B0V12_RAD_EPD5.zmx,68ad9489ca6ab2b692d8d20cbb97faf41d6a2782cb99390ab2ad126880cf060a
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_LB_AL2395_B0V12_WFS_MONO_EPD3,CAR_LB_AL2395_B0V12_WFS_EPD3,CAR_LB_AL2395_B0V12_WFS,LB_AL2395,B0V12,WFS,MONO,3.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_LB_AL2395_B0V12_WFS_EPD3.zmx,b31c29db2b463543a7a87916bdd2ecdfa00192d1a230bf8e96c7083c3486061c
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_LB_AL2395_B0V12_WFS_MONO_EPD5,CAR_LB_AL2395_B0V12_WFS_EPD5,CAR_LB_AL2395_B0V12_WFS,LB_AL2395,B0V12,WFS,MONO,5.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_LB_AL2395_B0V12_WFS_EPD5.zmx,f95c723ab9daeb12fcbcd7bd00b73d5608cd0b4c74df8aee9351ef8b811b71f8
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_LB_AL2395_C0V12_HOA_MONO_EPD3,CAR_LB_AL2395_C0V12_HOA_EPD3,CAR_LB_AL2395_C0V12_HOA,LB_AL2395,C0V12,HOA,MONO,3.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_LB_AL2395_C0V12_HOA_EPD3.zmx,b71eb2348003884ac87972766e8e739ddce4695559472e1d2a4805817515ab1a
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_LB_AL2395_C0V12_HOA_MONO_EPD5,CAR_LB_AL2395_C0V12_HOA_EPD5,CAR_LB_AL2395_C0V12_HOA,LB_AL2395,C0V12,HOA,MONO,5.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_LB_AL2395_C0V12_HOA_EPD5.zmx,89bd90ffa541467b48af749c454c11b2fe4d5a8acbc82579324969bd85a05ffd
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_LB_AL2395_C0V12_RAD_MONO_EPD3,CAR_LB_AL2395_C0V12_RAD_EPD3,CAR_LB_AL2395_C0V12_RAD,LB_AL2395,C0V12,RAD,MONO,3.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_LB_AL2395_C0V12_RAD_EPD3.zmx,0f51147f8bfd5a7fc3a17d767084c0ecff9eef6fec26ea75e43fb57d3c9cf289
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_LB_AL2395_C0V12_RAD_MONO_EPD5,CAR_LB_AL2395_C0V12_RAD_EPD5,CAR_LB_AL2395_C0V12_RAD,LB_AL2395,C0V12,RAD,MONO,5.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_LB_AL2395_C0V12_RAD_EPD5.zmx,187065602cc5f45c6d1945de559fa8e76405e69a07cc02886f5b2d7e08872c81
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_LB_AL2395_C0V12_WFS_MONO_EPD3,CAR_LB_AL2395_C0V12_WFS_EPD3,CAR_LB_AL2395_C0V12_WFS,LB_AL2395,C0V12,WFS,MONO,3.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_LB_AL2395_C0V12_WFS_EPD3.zmx,afd38ebe42d8cbfe2f36531921ec7f72c907c7eee65589bd418e91f28b85ec66
