base_id,cornea_id,platform_id,pupil_mm,threshold,delta_delta_dof_d,bound_status,lower_bound,upper_bound,source_peak_censored
ATC_M3_AL24477,B0,HOA,3.0,0.7,-0.07647357853986392,exact,-0.07647357853986392,-0.07647357853986392,False
ATC_M3_AL24477,C0,HOA,3.0,0.3,0.03428746244390424,exact,0.03428746244390424,0.03428746244390424,False
ATC_M3_AL24477,C0,HOA,3.0,0.5,-0.018678562104480823,exact,-0.018678562104480823,-0.018678562104480823,False
ATC_M3_AL24477,C0,HOA,3.0,0.7,0.003042086264908539,exact,0.003042086264908539,0.003042086264908539,False
ATC_M3_AL24477,A0,HOA,5.0,0.3,0.0035284926990337695,exact,0.0035284926990337695,0.0035284926990337695,False
ATC_M3_AL24477,A0,HOA,5.0,0.5,0.25156115292137327,exact,0.25156115292137327,0.25156115292137327,False
ATC_M3_AL24477,A0,HOA,5.0,0.7,0.09986520179152908,exact,0.09986520179152908,0.09986520179152908,False
ATC_M3_AL24477,B0,HOA,5.0,0.3,-0.057223220585074674,exact,-0.057223220585074674,-0.057223220585074674,False
ATC_M3_AL24477,B0,HOA,5.0,0.5,0.46318182367471095,exact,0.46318182367471095,0.46318182367471095,False
ATC_M3_AL24477,B0,HOA,5.0,0.7,1.0364872595134742,exact,1.0364872595134742,1.0364872595134742,False
ATC_M3_AL24477,C0,HOA,5.0,0.3,-0.2227958466269051,indeterminate,,,False
ATC_M3_AL24477,C0,HOA,5.0,0.5,0.3062687707925733,lower_bound,0.3062687707925733,,False
ATC_M3_AL24477,C0,HOA,5.0,0.7,-0.03836235890556505,exact,-0.03836235890556505,-0.03836235890556505,False
