config_id,pair_key,base_id,cornea_id,platform_id,pupil_mm,optic_state,reference_config_id,common_threshold,common_dof50_width_d,common_dof50_far_censored,common_dof50_near_censored
R8_R6_ATC_M3_AL24477_N0_RAD_EDOF_EPD5,R6_ATC_M3_AL24477_N0_RAD_EPD5,ATC_M3_AL24477,N0,RAD,5.0,EDOF,R8_R6_ATC_M3_AL24477_N0_RAD_MONO_EPD5,0.21773435019515724,0.16529205568541677,False,False
R8_R6_ATC_M3_AL24477_N0_HOA_MONO_EPD3,R6_ATC_M3_AL24477_N0_HOA_EPD3,ATC_M3_AL24477,N0,HOA,3.0,MONO,R8_R6_ATC_M3_AL24477_N0_HOA_MONO_EPD3,0.2834710520336761,0.5078020633505886,False,False
R8_R6_ATC_M3_AL24477_N0_HOA_EDOF_EPD3,R6_ATC_M3_AL24477_N0_HOA_EPD3,ATC_M3_AL24477,N0,HOA,3.0,EDOF,R8_R6_ATC_M3_AL24477_N0_HOA_MONO_EPD3,0.2834710520336761,0.0,False,False
R8_R6_ATC_M3_AL24477_N0_HOA_MONO_EPD5,R6_ATC_M3_AL24477_N0_HOA_EPD5,ATC_M3_AL24477,N0,HOA,5.0,MONO,R8_R6_ATC_M3_AL24477_N0_HOA_MONO_EPD5,0.10353626062369405,1.6376110758391558,False,False
R8_R6_ATC_M3_AL24477_N0_HOA_EDOF_EPD5,R6_ATC_M3_AL24477_N0_HOA_EPD5,ATC_M3_AL24477,N0,HOA,5.0,EDOF,R8_R6_ATC_M3_AL24477_N0_HOA_MONO_EPD5,0.10353626062369405,1.2367453466377154,False,False
R8_R6_ATC_M3_AL24477_A0_WFS_MONO_EPD3,R6_ATC_M3_AL24477_A0_WFS_EPD3,ATC_M3_AL24477,A0,WFS,3.0,MONO,R8_R6_ATC_M3_AL24477_N0_WFS_MONO_EPD3,0.3181338364356005,0.451714038362086,False,False
R8_R6_ATC_M3_AL24477_A0_WFS_EDOF_EPD3,R6_ATC_M3_AL24477_A0_WFS_EPD3,ATC_M3_AL24477,A0,WFS,3.0,EDOF,R8_R6_ATC_M3_AL24477_N0_WFS_MONO_EPD3,0.3181338364356005,0.3676037733623495,False,False
R8_R6_ATC_M3_AL24477_A0_WFS_MONO_EPD5,R6_ATC_M3_AL24477_A0_WFS_EPD5,ATC_M3_AL24477,A0,WFS,5.0,MONO,R8_R6_ATC_M3_AL24477_N0_WFS_MONO_EPD5,0.16486725210838477,0.7225963710383885,False,False
R8_R6_ATC_M3_AL24477_A0_WFS_EDOF_EPD5,R6_ATC_M3_AL24477_A0_WFS_EPD5,ATC_M3_AL24477,A0,WFS,5.0,EDOF,R8_R6_ATC_M3_AL24477_N0_WFS_MONO_EPD5,0.16486725210838477,0.7071615818499883,False,False
R8_R6_ATC_M3_AL24477_A0_RAD_MONO_EPD3,R6_ATC_M3_AL24477_A0_RAD_EPD3,ATC_M3_AL24477,A0,RAD,3.0,MONO,R8_R6_ATC_M3_AL24477_N0_RAD_MONO_EPD3,0.3211262585441685,0.4493961334716634,False,False
R8_R6_ATC_M3_AL24477_A0_RAD_EDOF_EPD3,R6_ATC_M3_AL24477_A0_RAD_EPD3,ATC_M3_AL24477,A0,RAD,3.0,EDOF,R8_R6_ATC_M3_AL24477_N0_RAD_MONO_EPD3,0.3211262585441685,0.0,False,False
R8_R6_ATC_M3_AL24477_A0_RAD_MONO_EPD5,R6_ATC_M3_AL24477_A0_RAD_EPD5,ATC_M3_AL24477,A0,RAD,5.0,MONO,R8_R6_ATC_M3_AL24477_N0_RAD_MONO_EPD5,0.21773435019515724,0.44432965094772886,False,False
R8_R6_ATC_M3_AL24477_A0_RAD_EDOF_EPD5,R6_ATC_M3_AL24477_A0_RAD_EPD5,ATC_M3_AL24477,A0,RAD,5.0,EDOF,R8_R6_ATC_M3_AL24477_N0_RAD_MONO_EPD5,0.21773435019515724,0.0,False,False
R8_R6_ATC_M3_AL24477_A0_HOA_MONO_EPD3,R6_ATC_M3_AL24477_A0_HOA_EPD3,ATC_M3_AL24477,A0,HOA,3.0,MONO,R8_R6_ATC_M3_AL24477_N0_HOA_MONO_EPD3,0.2834710520336761,0.5124368811178373,False,False
R8_R6_ATC_M3_AL24477_A0_HOA_EDOF_EPD3,R6_ATC_M3_AL24477_A0_HOA_EPD3,ATC_M3_AL24477,A0,HOA,3.0,EDOF,R8_R6_ATC_M3_AL24477_N0_HOA_MONO_EPD3,0.2834710520336761,0.0,False,False
