pair_key,base_id,cornea_id,platform_id,pupil_mm,carrier_key,mono_config_id,edof_config_id,mono_peak_search_censored,edof_peak_search_censored,delta_mtfa_at_zero_d,delta_peak_mtfa,delta_tf_mtfa_mean,mono_tf_mtfa_mean_original_window,edof_tf_mtfa_mean_original_window,delta_tf_mtfa_mean_original_window,mono_dof30_d,edof_dof30_d,mono_dof30_far_censored,mono_dof30_near_censored,edof_dof30_far_censored,edof_dof30_near_censored,delta_dof30_d,mono_dof50_d,edof_dof50_d,mono_dof50_far_censored,mono_dof50_near_censored,edof_dof50_far_censored,edof_dof50_near_censored,delta_dof50_d,mono_dof70_d,edof_dof70_d,mono_dof70_far_censored,mono_dof70_near_censored,edof_dof70_far_censored,edof_dof70_near_censored,delta_dof70_d
R6_LB_AL2395_B0_HOA_EPD3,LB_AL2395,B0,HOA,3.0,R6_LB_AL2395_B0_HOA,R8_R6_LB_AL2395_B0_HOA_MONO_EPD3,R8_R6_LB_AL2395_B0_HOA_EDOF_EPD3,False,False,-0.2906887120838939,-0.20979494426570114,-0.03967452922632247,0.13917195363235305,0.07980734477593641,-0.05936460885641663,1.5910441413249967,1.9040066648511078,False,False,False,False,0.3129625235261111,0.8549894124019074,0.7865050435822737,False,False,False,False,-0.06848436881963371,0.47119679441599494,0.44346436362954705,False,False,False,False,-0.02773243078644788
R6_LB_AL2395_B0_HOA_EPD5,LB_AL2395,B0,HOA,5.0,R6_LB_AL2395_B0_HOA,R8_R6_LB_AL2395_B0_HOA_MONO_EPD5,R8_R6_LB_AL2395_B0_HOA_EDOF_EPD5,False,False,-0.09697456129325932,-0.04425782672593302,-0.010149435939316387,0.08514298699089802,0.07164458854831486,-0.01349839844258316,3.6956909040528028,3.9865658914816047,False,False,False,False,0.2908749874288019,2.3582130404519885,2.6577974081599756,False,False,False,False,0.299584367707987,0.6023772328439467,1.6919574283885868,False,False,False,False,1.08958019554464
R6_LB_AL2395_B0_RAD_EPD3,LB_AL2395,B0,RAD,3.0,R6_LB_AL2395_B0_RAD,R8_R6_LB_AL2395_B0_RAD_MONO_EPD3,R8_R6_LB_AL2395_B0_RAD_EDOF_EPD3,False,False,-0.43030341841183584,-0.24269087971070147,-0.020225837290468993,0.14400233764092193,0.07811424137401621,-0.06588809626690573,1.0189510304898841,1.2091726602602655,False,False,True,False,0.19022162977038137,0.4932664109005536,0.9166531097226389,False,False,True,False,0.4233866988220853,0.33871049870702774,0.32530211976226264,False,False,True,False,-0.013408378944765098
R6_LB_AL2395_B0_RAD_EPD5,LB_AL2395,B0,RAD,5.0,R6_LB_AL2395_B0_RAD,R8_R6_LB_AL2395_B0_RAD_MONO_EPD5,R8_R6_LB_AL2395_B0_RAD_EDOF_EPD5,False,False,-0.12650996541068907,-0.06835388458640693,-0.008177824758454737,0.09727982539202765,0.07488285693699803,-0.022396968455029614,2.4407733919935355,3.2194729693839794,False,False,True,False,0.7786995773904439,1.7276314121649212,1.1793370199254778,False,False,True,False,-0.5482943922394434,0.5054397125718931,0.33630089581518263,False,False,False,False,-0.1691388167567105
R6_LB_AL2395_B0_WFS_EPD3,LB_AL2395,B0,WFS,3.0,R6_LB_AL2395_B0_WFS,R8_R6_LB_AL2395_B0_WFS_MONO_EPD3,R8_R6_LB_AL2395_B0_WFS_EDOF_EPD3,False,False,-0.18803896673867238,-0.18803896673867238,-0.005306858420251387,0.14279362291333872,0.12738322217200634,-0.015410400741332375,1.1567330877568767,2.120794003461593,False,False,True,False,0.9640609157047162,0.5600929923827429,1.2134701884416517,False,False,False,False,0.6533771960589088,0.35936030613298087,0.6302419007092815,False,False,False,False,0.2708815945763007
R6_LB_AL2395_B0_WFS_EPD5,LB_AL2395,B0,WFS,5.0,R6_LB_AL2395_B0_WFS,R8_R6_LB_AL2395_B0_WFS_MONO_EPD5,R8_R6_LB_AL2395_B0_WFS_EDOF_EPD5,False,False,-0.06589396139892663,-0.021092651828922282,-0.0011638640315827925,0.09372501348023908,0.08944098524615181,-0.004284028234087273,2.7483226474633433,3.4140702214653924,False,False,False,False,0.6657475740020491,1.6066439769127416,2.100936836459685,False,False,False,False,0.49429285954694335,0.5087935467992888,0.6671542882968255,False,False,False,False,0.15836074149753676
R6_LB_AL2395_C0_HOA_EPD3,LB_AL2395,C0,HOA,3.0,R6_LB_AL2395_C0_HOA,R8_R6_LB_AL2395_C0_HOA_MONO_EPD3,R8_R6_LB_AL2395_C0_HOA_EDOF_EPD3,False,False,-0.4048975326365404,-0.34121151623175117,-0.03947431237300356,0.14271450488721993,0.07860080302323136,-0.06411370186398857,1.0473716001472622,1.482218817495442,False,False,False,False,0.4348472173481799,0.517023492338474,0.618094977463682,False,False,False,False,0.10107148512520803,0.340314170189473,0.41356033909909146,False,False,False,False,0.07324616890961844
R6_LB_AL2395_C0_HOA_EPD5,LB_AL2395,C0,HOA,5.0,R6_LB_AL2395_C0_HOA,R8_R6_LB_AL2395_C0_HOA_MONO_EPD5,R8_R6_LB_AL2395_C0_HOA_EDOF_EPD5,False,False,-0.1758910127042786,-0.10336381388088292,-0.014586714178849568,0.07665139220938424,0.05340964294519962,-0.023241749264184625,1.4861683018831975,1.5120898591889786,True,False,True,False,0.025921557305781162,1.1087012821898405,1.3362389839726236,False,False,True,False,0.2275377017827831,0.3095025576200167,0.30770605201291246,False,False,False,False,-0.0017965056071042595
R6_LB_AL2395_C0_RAD_EPD3,LB_AL2395,C0,RAD,3.0,R6_LB_AL2395_C0_RAD,R8_R6_LB_AL2395_C0_RAD_MONO_EPD3,R8_R6_LB_AL2395_C0_RAD_EDOF_EPD3,False,False,-0.508826532023097,-0.3402685097257996,-0.0177047455965577,0.14129416570879846,0.08073388476717033,-0.06056028094162813,0.7754219617629934,1.2609010540643462,False,False,True,False,0.4854790923013528,0.4514656671899179,0.9705278257292216,False,False,True,False,0.5190621585393037,0.3134625587504398,0.3531975323603918,False,False,False,False,0.039734973609951985
R6_LB_AL2395_C0_RAD_EPD5,LB_AL2395,C0,RAD,5.0,R6_LB_AL2395_C0_RAD,R8_R6_LB_AL2395_C0_RAD_MONO_EPD5,R8_R6_LB_AL2395_C0_RAD_EDOF_EPD5,False,False,-0.218199969370163,-0.08727403124099309,-0.005080509641576525,0.0614614229387439,0.03917056384399582,-0.022290859094748074,0.9582612443721813,1.0489984112187072,False,False,True,False,0.09073716684652589,0.43821750660186154,0.8030058622890234,False,False,True,False,0.36478835568716184,0.2945431645085195,0.30023618990536993,False,False,False,False,0.00569302539685046
