config_id,pair_key,state,sampling,defocus_retina_d,defocus_shape_d,mtfa,mtf10,mtf20,mtf30,mtf40,mtf50,mtf60
CFG_ATC_M3_AL24477_B0_RAD_MONO_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,MONO,128,-2.0,-1.75,0.06578747938668422,0.05669916981436294,0.03618491579001324,0.010696611517799937,0.017086864566098793,0.0023356058609711014,0.005434486043943649
CFG_ATC_M3_AL24477_B0_RAD_MONO_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,MONO,128,-2.25,-2.0,0.05773255333456493,0.0917217622869827,0.043556364573402694,0.026271271271388962,0.011057117043982444,0.0069945322442754,0.002107270677112637
CFG_ATC_M3_AL24477_B0_RAD_MONO_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,MONO,128,-2.5,-2.25,0.04986969031253418,0.08162938363130977,0.04504345609202878,0.02004080582134528,0.004471583971151739,0.004198711279915355,0.002986856327560561
CFG_ATC_M3_AL24477_B0_RAD_MONO_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,MONO,128,-2.75,-2.5,0.040892703081472935,0.027817592313931945,0.0326205365892571,0.0028350468369225247,0.0001797868080179248,0.002542709595073112,0.0024685933284574434
CFG_ATC_M3_AL24477_B0_RAD_MONO_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,MONO,128,-3.0,-2.75,0.038001691077772425,0.07016435679296289,0.014849138519496218,0.007918818971824958,0.002375811005325833,0.0031753244837193313,0.0005820385421496582
CFG_ATC_M3_AL24477_B0_RAD_EDOF_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,EDOF,128,0.5,1.0,0.0701690145405707,0.05891958782378918,0.023158732147008528,0.021264051238236485,0.029597373551074564,0.009484097527425624,0.008798622990918001
CFG_ATC_M3_AL24477_B0_RAD_EDOF_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,EDOF,128,0.25,0.75,0.08818035691395713,0.1103331685727861,0.07690391533052993,0.008169788009677229,0.0011963022821627853,0.025435944850260434,0.026322955140713276
CFG_ATC_M3_AL24477_B0_RAD_EDOF_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,EDOF,128,0.0,0.5,0.17823332905645584,0.21857782990781116,0.12468742962769239,0.17125905521178764,0.13073497233691736,0.09037144303570221,0.061755371504253566
CFG_ATC_M3_AL24477_B0_RAD_EDOF_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,EDOF,128,-0.25,0.25,0.182492225946432,0.28770668470603705,0.21263896943076122,0.06469141162905205,0.08180333337008108,0.022203356716313242,0.029039153144703192
CFG_ATC_M3_AL24477_B0_RAD_EDOF_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,EDOF,128,-0.5,0.0,0.19382965154524656,0.3264257382042215,0.06191101952273295,0.04742568660702453,0.13059937405868788,0.09896027444691458,0.06521494016268244
CFG_ATC_M3_AL24477_B0_RAD_EDOF_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,EDOF,128,-0.75,-0.25,0.17579977342671413,0.28890923683529396,0.10860370535194949,0.12064400115722149,0.0028893549881562454,0.029859432688139592,0.027195324218329944
CFG_ATC_M3_AL24477_B0_RAD_EDOF_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,EDOF,128,-1.0,-0.5,0.12720581710922463,0.10857689742685522,0.10085375819604993,0.001043935416056388,0.0126219570778311,0.03826024730634587,0.023190642417520342
CFG_ATC_M3_AL24477_B0_RAD_EDOF_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,EDOF,128,-1.25,-0.75,0.09259286492379318,0.028117550976624897,0.005232569859355114,0.039663286218367136,0.019609649522828565,0.04081674203545106,0.035739431984546696
CFG_ATC_M3_AL24477_B0_RAD_EDOF_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,EDOF,128,-1.5,-1.0,0.0804305610707081,0.14701256453895,0.06331323773878514,0.07414340940227729,0.027886949902326326,0.00899183327988189,0.021116491447103237
CFG_ATC_M3_AL24477_B0_RAD_EDOF_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,EDOF,128,-1.75,-1.25,0.0661560124871984,0.08915236321906853,0.004500929533001106,0.019101961093221133,0.008217911616014588,0.018595167932216466,0.009820009251067007
CFG_ATC_M3_AL24477_B0_RAD_EDOF_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,EDOF,128,-2.0,-1.5,0.059343917132433824,0.11224507982532121,0.07950806867360177,0.027648835190615027,0.0013316483322681574,0.022304306839707966,0.014245343235335627
CFG_ATC_M3_AL24477_B0_RAD_EDOF_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,EDOF,128,-2.25,-1.75,0.054924482802036274,0.02839995684796759,0.05196388450364183,0.011900973780612022,0.004075026177996112,0.010835563288856875,0.008897825840176055
CFG_ATC_M3_AL24477_B0_RAD_EDOF_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,EDOF,128,-2.5,-2.0,0.048502996009493655,0.10386586092989186,0.004329218472583709,0.00802401944338637,0.005670546777271283,0.001286936021538857,0.00017791792665264528
CFG_ATC_M3_AL24477_B0_RAD_EDOF_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,EDOF,128,-2.75,-2.25,0.04294761828256864,0.01842915316448366,0.012523151716832782,0.008839941705838943,0.004528942435647868,0.0017656826853291974,0.0014782826540751855
CFG_ATC_M3_AL24477_B0_RAD_EDOF_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,EDOF,128,-3.0,-2.5,0.03665966545765021,0.038114731934716074,0.0009700676023151615,0.010769261049060138,0.0026297710507445417,0.001377608238370189,0.001976531740964649
CFG_ATC_M3_AL24477_C0_HOA_MONO_EPD5,CAR_ATC_M3_AL24477_C0_HOA_EPD5,MONO,128,0.5,0.5,0.12159535690173756,0.08797551000660556,0.05621430427690022,0.029692315650207454,0.036107272671157875,0.028281466455806214,0.017745373582136986
